📺江苏联通IPTV,#genre#
CETV-2,http://122.96.52.98:8006/JS_CUCC/G_CETV-2.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObYCtehAWhGX%2BZEvoVUAXA3XPXnNMEj6KlJFizBC0wClq&p=GITV&area=JS_CUCC
CETV-3,http://122.96.52.98:8006/JS_CUCC/G_CETV-3.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObTRTsDZNfDokI3G8gHw4XP7PXnNMEj6KlJFizBC0wClq&p=GITV&area=JS_CUCC
CETV-4,http://122.96.52.98:8006/JS_CUCC/G_CETV-4.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObcLe2GUQ%2BqrGSF6OfVwvg4LPXnNMEj6KlJFizBC0wClq&p=GITV&area=JS_CUCC
江苏卫视高清,http://122.96.52.98:8006/JS_CUCC/G_JIANGSU-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObe%2B73CN7TjP4aPry8BxkIZo16MKd45jyNEVVPtZi%2B%2BYw&p=GITV&area=JS_CUCC
浙江卫视高清,http://122.96.52.98:8006/JS_CUCC/ZJWS-HD.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObbNzh7juH3lS2inqh%2BF8RWab81ufElMrCkVylhMcfT%2BR&p=GITV&area=JS_CUCC
湖南卫视高清,http://122.96.52.98:8006/JS_CUCC/HNWS-HD.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObaQqDFpe4CLFWU3g9CXRAn2b81ufElMrCkVylhMcfT%2BR&p=GITV&area=JS_CUCC
东方卫视高清,http://122.96.52.98:8006/JS_CUCC/DFWS-HD.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObW4mzu8ad9yyTfm9nVc1qjqb81ufElMrCkVylhMcfT%2BR&p=GITV&area=JS_CUCC
北京卫视高清,http://122.96.52.98:8006/JS_CUCC/G_BEIJING-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObd6ptYCV0fCKRLa0se%2BHo4w16MKd45jyNEVVPtZi%2B%2BYw&p=GITV&area=JS_CUCC
深圳卫视高清,http://122.96.52.98:8006/JS_CUCC/SZWS-HD.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObTYWki37I9rjwiMIIqXK9fWb81ufElMrCkVylhMcfT%2BR&p=GITV&area=JS_CUCC
广东卫视高清,http://122.96.52.98:8006/JS_CUCC/GDWS-HD.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObXboAYv1f8UkIaWEi%2F%2BXFYOb81ufElMrCkVylhMcfT%2BR&p=GITV&area=JS_CUCC
辽宁卫视,http://122.96.52.98:8006/JS_CUCC/LNWS.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObaDRudefVbhnMFkDq1qvwfGh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
安徽卫视高清,http://122.96.52.98:8006/JS_CUCC/G_ANHUI-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObcVxPGRMBerw%2BQCePMNKnYAYl7x2FNmhSsY8QsuSD9iY&p=GITV&area=JS_CUCC
山东卫视,http://122.96.52.98:8006/JS_CUCC/SDWS.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObVdqKNMVAccsMkWcT5KViguh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
黑龙江卫视高清,http://122.96.52.98:8006/JS_CUCC/HLJWS-HD.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObb4vvzT%2Fi9UvuV8oBYZzdinPXnNMEj6KlJFizBC0wClq&p=GITV&area=JS_CUCC
广西卫视,http://122.96.52.98:8006/JS_CUCC/GXWS.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObRnK5o%2FdCiIM7FDHLz8YH9ah6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
海南卫视,http://122.96.52.98:8006/JS_CUCC/LYWS.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObZHRxItdqiTzm1619p47%2BUah6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
重庆卫视高清,http://122.96.52.98:8006/JS_CUCC/G_CHONGQING-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObZFqHW6qVcpEGyFqe3ywDRxFM1sZsBEXGxACQspKV32e&p=GITV&area=JS_CUCC
四川卫视,http://122.96.52.98:8006/JS_CUCC/SCWS.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObaaioiM%2FEWQp0TaZB5g5mT2h6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
河南卫视,http://122.96.52.98:8006/JS_CUCC/HENAN.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObdvfKWW9%2Bl5iJyps%2BTWIj7XhCsZiWNVb%2B9ug3Ov%2B5E3U&p=GITV&area=JS_CUCC
天津卫视高清,http://122.96.52.98:8006/JS_CUCC/G_TIANJIN-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObT0L6Dg1hhqIlpu3cjkIsD816MKd45jyNEVVPtZi%2B%2BYw&p=GITV&area=JS_CUCC
东南卫视,http://122.96.52.98:8006/JS_CUCC/DNWS.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObbDzxWf7vgHTQjyCobDkI7Oh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
天津卫视,http://122.96.52.98:8006/JS_CUCC/TJWS.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObZIU6AWyd8pq2MCx1WwIBUih6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
江西卫视,http://122.96.52.98:8006/JS_CUCC/JXWS.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObUlsPUHCH426UAxa5mH4J1uh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
湖北卫视超清-8M,http://122.96.52.98:8006/JS_CUCC/G_HUBEI-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObWpPTwVnxgPlRsQ6yqrQnxtdrJK%2FXmi7dS%2FskYh6jZ%2BA&p=GITV&area=JS_CUCC
吉林卫视,http://122.96.52.98:8006/JS_CUCC/G_JILIN-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObdEcsclczOLBOXfhk2GNjXNdrJK%2FXmi7dS%2FskYh6jZ%2BA&p=GITV&area=JS_CUCC
山西卫视,http://122.96.52.98:8006/JS_CUCC/SXWS.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObRABiiE%2FeMdnNlD1FjFkPbCh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
贵州卫视,http://122.96.52.98:8006/JS_CUCC/G_GUIZHOU-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObTbowJTKP62EVqjfs1FFeygHhX2QynD8Ir9egNJxwiUZ&p=GITV&area=JS_CUCC
青海卫视,http://122.96.52.98:8006/JS_CUCC/G_QINGHAI.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObcTe7ebGzIJJ7EFIv%2F8IshKUCwQ2OtfJQBR%2F5rDivp4f&p=GITV&area=JS_CUCC
内蒙古卫视,http://122.96.52.98:8006/JS_CUCC/G_NEIMENGGU.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObTWIsCuMN3sDf3sDkz2opxFDSYahSUEnZaq7x%2BddPu8r&p=GITV&area=JS_CUCC
云南卫视,http://122.96.52.98:8006/JS_CUCC/G_YUNNAN.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObStgtw0Grn6Af7HaNgDPs%2BCIi%2BgKUrSIkn0yxQmbcG0D&p=GITV&area=JS_CUCC
河北卫视高清,http://122.96.52.98:8006/JS_CUCC/G_HEBEI-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObb7xusN9gDV2xSf%2B4IqcQUddrJK%2FXmi7dS%2FskYh6jZ%2BA&p=GITV&area=JS_CUCC
河南卫视,http://122.96.52.98:8006/JS_CUCC/G_HENAN-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObSEruJetLM2slGgw3fYpwo1drJK%2FXmi7dS%2FskYh6jZ%2BA&p=GITV&area=JS_CUCC
宁夏卫视,http://122.96.52.98:8006/JS_CUCC/G_NINGXIA.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObUSkV0hEJINe5AkK4vTxzh6UCwQ2OtfJQBR%2F5rDivp4f&p=GITV&area=JS_CUCC
江西卫视,http://122.96.52.98:8006/JS_CUCC/G_JIANGXI-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObTwe5POuS0%2FZquuTeN6RjT0HhX2QynD8Ir9egNJxwiUZ&p=GITV&area=JS_CUCC
新疆卫视,http://122.96.52.98:8006/JS_CUCC/G_XINJIANG.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObSM9o3f6NWfJ1rkyE5xdxwpdrJK%2FXmi7dS%2FskYh6jZ%2BA&p=GITV&area=JS_CUCC
四川卫视高清,http://122.96.52.98:8006/JS_CUCC/G_SICHUAN-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObX7XS3iuqo%2FInP87aBoeBPkHhX2QynD8Ir9egNJxwiUZ&p=GITV&area=JS_CUCC
甘肃卫视,http://122.96.52.98:8006/JS_CUCC/G_GANSU.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObWYfnQfRoCWbPI5tyEQQw2oT9hE%2Bnnruxo632KOPBAHY&p=GITV&area=JS_CUCC
陕西卫视,http://122.96.52.98:8006/JS_CUCC/G_SHANXI.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObf5y2W6I0M3WfCAgu1A8eTmIi%2BgKUrSIkn0yxQmbcG0D&p=GITV&area=JS_CUCC
西藏卫视,http://122.96.52.98:8006/JS_CUCC/G_XIZANG.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObQczeX9lPG8rn2g3vMzCGrGIi%2BgKUrSIkn0yxQmbcG0D&p=GITV&area=JS_CUCC
大湾区卫视,http://122.96.52.98:8006/JS_CUCC/G_NANFANG.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObabFqhlzGVMetYiEcRbGwbaUCwQ2OtfJQBR%2F5rDivp4f&p=GITV&area=JS_CUCC
辽宁卫视高清,http://122.96.52.98:8006/JS_CUCC/G_LIAONING-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObS6sZkgRoUiBEDwKyjhRsS%2BxPF9WEbQubdYFsDePBfPR&p=GITV&area=JS_CUCC
厦门卫视,http://122.96.52.98:8006/JS_CUCC/G_XIAMEN.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObU1SUKBsaDoCKmYaDRwyWkKIi%2BgKUrSIkn0yxQmbcG0D&p=GITV&area=JS_CUCC
山东卫视高清,http://122.96.52.98:8006/JS_CUCC/G_SHANDONG-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObRzmA3bkY8uR2T6FfCfBDoixPF9WEbQubdYFsDePBfPR&p=GITV&area=JS_CUCC
安多卫视,http://122.96.52.98:8006/JS_CUCC/G_ANDUO.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObfSIbRv%2Ft%2FcUMhN3%2BR4JgCAT9hE%2Bnnruxo632KOPBAHY&p=GITV&area=JS_CUCC
兵团卫视,http://122.96.52.98:8006/JS_CUCC/G_BINGTUAN.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObd9T4Hqgin2Auhyowi836m5drJK%2FXmi7dS%2FskYh6jZ%2BA&p=GITV&area=JS_CUCC
康巴卫视,http://122.96.52.98:8006/JS_CUCC/G_KANGBA.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObXCo3LZq657106DkeYthAoqIi%2BgKUrSIkn0yxQmbcG0D&p=GITV&area=JS_CUCC
农林卫视,http://122.96.52.98:8006/JS_CUCC/G_NONGLIN.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObXn4ELQuzVQIZATTly1sQVuciqJQYKCsog0NeiBSD%2BJF&p=GITV&area=JS_CUCC
延边卫视,http://122.96.52.98:8006/JS_CUCC/G_YANBIAN.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObT8C%2FyaqlkAsrMZZTwUsOB2ciqJQYKCsog0NeiBSD%2BJF&p=GITV&area=JS_CUCC
江苏教育,http://122.96.52.98:8006/JS_CUCC/G_JSJY.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObbvIgZdzRzr0o2scqLXv3Y7El4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
江苏城市,http://122.96.52.98:8006/JS_CUCC/G_JSCS.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObWtXRlQ6ZgZvm4iKKwSCr%2BLEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
江苏新闻,http://122.96.52.98:8006/JS_CUCC/G_JSGG.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObR%2FYIi8Ef4PrlaiL1PLmOI7El4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
江苏影视,http://122.96.52.98:8006/JS_CUCC/G_JSYS.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObS44b%2FLpjTE7JPL0Jhogm4LEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
江苏休闲体育,http://122.96.52.98:8006/JS_CUCC/G_JSTY.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObVGXZ9kCsTxFmK61kNflwLjEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
江苏综艺,http://122.96.52.98:8006/JS_CUCC/G_JSZY.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObW5GqWJfQ7ovAXGH4WsIzXXEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
卡酷少儿,http://122.96.52.98:8006/JS_CUCC/G_KAKU.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObeEoDvySWEK86j8t5CgjySnEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
金鹰卡通,http://122.96.52.98:8006/JS_CUCC/G_JINYING.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObbMCzSibupI56XFAQHsqfCGciqJQYKCsog0NeiBSD%2BJF&p=GITV&area=JS_CUCC
嘉佳卡通,http://122.96.52.98:8006/JS_CUCC/G_JIAJIA.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObTnMFwjSLplKO3pkdlaHV3yALR60ZT01W8by0xOkJKQO&p=GITV&area=JS_CUCC
优漫卡通,http://122.96.52.98:8006/JS_CUCC/G_YOUMAN.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObafh9mNpUs9XNWQ9IRACV06ALR60ZT01W8by0xOkJKQO&p=GITV&area=JS_CUCC
炫动卡通,http://122.96.52.98:8006/JS_CUCC/G_XUANDONG.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObXsDIl1X8MoXDGMrf7tErMWkE4dqYayiqBjpbKUk8iSP&p=GITV&area=JS_CUCC
山东教育,http://122.96.52.98:8006/JS_CUCC/G_SDETV.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObUC3z3Ym%2BJCkso9P8CSlsVs3CITGH3H4QrNyNYWLeTps&p=GITV&area=JS_CUCC
好享购物,http://122.96.52.98:8006/JS_CUCC/G_HAOXIANG.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObbNhiVRjDuVxAzCcHNzSFHGkE4dqYayiqBjpbKUk8iSP&p=GITV&area=JS_CUCC
南京新闻综合,http://122.96.52.98:8006/JS_CUCC/G_NJXW.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObY1xo7LfGxNcxMuA%2BO2HjjHEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
南京十八·生活,http://122.96.52.98:8006/JS_CUCC/G_NJSB.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObcZ83n0itl%2F50aunP0UChYHEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
南京教科,http://122.96.52.98:8006/JS_CUCC/G_NJJK.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObd3rBaI6eCMZOmQq8VoYN0HEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
浙江卫视高清,http://122.96.52.98:8006/JS_CUCC/G_ZHEJIANG-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObYNd2dktho8dQKmJgOb8jA8yZjZWHbIgFrzArAvBgj1N&p=GITV&area=JS_CUCC
湖南卫视高清,http://122.96.52.98:8006/JS_CUCC/G_HUNAN-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObfWTePQzhzuKhqvRTBfIiwSkE4dqYayiqBjpbKUk8iSP&p=GITV&area=JS_CUCC
南京文旅记录,http://122.96.52.98:8006/JS_CUCC/G_NJYL.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObYG1lyIEs2ajzCYowjMUApbEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
东方卫视高清,http://122.96.52.98:8006/JS_CUCC/G_DONGFANG-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObauOD%2FF5rVZ9ggpQ6fpB0WEyZjZWHbIgFrzArAvBgj1N&p=GITV&area=JS_CUCC
南京影视,http://122.96.52.98:8006/JS_CUCC/G_NJYS.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObS9kCHD9v9BlVzO8hb4HEJLEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
深圳卫视超清-8M,http://122.96.52.98:8006/JS_CUCC/G_SHENZHEN-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObfZLFHKtISZ64EC8%2FM6myNwyZjZWHbIgFrzArAvBgj1N&p=GITV&area=JS_CUCC
黑龙江卫视超清-8M,http://122.96.52.98:8006/JS_CUCC/G_HEILONGJIANG-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObTIJG6TGS8K9nHRTabedgo5JeCE2nX8toTqhNdVah392&p=GITV&area=JS_CUCC
广东卫视超清-8M,http://122.96.52.98:8006/JS_CUCC/G_GUANGDONG-CQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObS%2B9f1ioQT23DodmBN6xoZxsO9FGF%2B9GRlM90PjSL39I&p=GITV&area=JS_CUCC
南京少儿,http://122.96.52.98:8006/JS_CUCC/G_NJSE.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObW%2FjdbuYdnO43MXhTuqzWRjEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
CCTV-1,http://122.96.52.98:8006/JS_CUCC/G_CCTV-1.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObVxVEKERHAPCkFMin%2BkyfjVJiXF%2FBMFjafQ1yi9hAzRc&p=GITV&area=JS_CUCC
安徽卫视,http://122.96.52.98:8006/JS_CUCC/AHWS.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObby5Ks3L%2FiWiiScVtaOpz1Wh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
CCTV-3,http://122.96.52.98:8006/JS_CUCC/CCTV-3.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObely%2Fu%2BF%2FIMmeKidwWThJPPEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
CCTV-4,http://122.96.52.98:8006/JS_CUCC/CCTV-4.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObca4%2Be6r8HGe5CAcZogirzbEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
CCTV-5超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-5-HQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObefW6SrU2qKKOdzGs76mTETf6LFp8JZYl5Kgiz5XKHWq&p=GITV&area=JS_CUCC
CCTV-5+高清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-5PLUS.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObSH21ihWCb02eaLByFFgtolGKeaO2aAlaWudQHq20cv%2F&p=GITV&area=JS_CUCC
CCTV-6,http://122.96.52.98:8006/JS_CUCC/CCTV-6.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObTNd%2Bg%2FkMo3dOGwmrKPcSDPEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
CCTV-7,http://122.96.52.98:8006/JS_CUCC/CCTV-7.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObRR0Vr%2BBj8Z6MPrhyJxprLXEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
CCTV-9,http://122.96.52.98:8006/JS_CUCC/G_CCTV-9.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObRWgSl8uoUEpB2yr%2Br6hClRJiXF%2FBMFjafQ1yi9hAzRc&p=GITV&area=JS_CUCC
CCTV-10,http://122.96.52.98:8006/JS_CUCC/CCTV-10.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObcmX151u6hfDw%2F83S9QcDo6Abs%2ByF7b29hFRLV23f6Vj&p=GITV&area=JS_CUCC
CCTV-11,http://122.96.52.98:8006/JS_CUCC/CCTV-11.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObZXA%2Fcm8qYJNQRyM5geZHweAbs%2ByF7b29hFRLV23f6Vj&p=GITV&area=JS_CUCC
CCTV-12,http://122.96.52.98:8006/JS_CUCC/CCTV-12.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObXTtJmWtdgoO26m20vh%2FaTiAbs%2ByF7b29hFRLV23f6Vj&p=GITV&area=JS_CUCC
